	0	1	2	3	4	5	6	7	8	9
mum	0	0	1	0	0	0	0	0	0	0
sinere	0	1	0	1	0	0	0	0	0	0
drum	4	2	0	0	1	2	1	0	2	0
ebbe	0	0	2	1	0	1	0	0	0	2
lauft	0	0	0	1	0	0	0	1	1	2
dumm	0	0	1	0	1	0	1	0	0	0
wenns	0	0	1	0	0	3	1	0	2	0
emojiQgrinningFaceWithSmilingEyes	0	0	1	3	5	3	8	0	1	2
oouuu	0	0	0	0	0	0	0	0	0	1
emojiQvictoryHand	0	0	0	0	2	1	1	0	0	0
hoffentlich	0	0	0	0	0	0	0	1	0	0
becho	0	1	2	0	0	0	1	0	1	0
saisch	1	0	0	1	0	0	0	0	0	0
ihne	0	1	1	2	0	1	0	0	0	1
wennt	0	0	1	0	0	0	0	0	0	0
o	0	0	0	0	1	1	1	1	2	0
bisi	0	0	1	1	0	0	0	0	0	0
schrib	1	0	1	0	0	0	1	0	1	0
grund	1	1	0	0	0	0	0	0	0	1
segemer	0	0	1	0	0	0	0	0	0	0
!?	0	0	0	0	1	0	0	0	0	0
dene	0	0	0	3	1	0	0	0	1	1
verarsche	0	0	0	1	0	0	0	1	0	0
aze	0	0	0	0	1	0	0	1	0	0
wetsch	0	0	0	0	0	0	0	1	0	0
sho	1	2	1	1	5	2	0	0	0	1
sowieso	1	0	0	0	0	0	1	0	0	0
mannschaft	0	0	0	0	0	1	0	0	0	0
anderi	0	0	0	0	0	0	1	0	0	2
geg	0	0	0	0	0	0	0	0	1	0
bvb	0	0	0	0	0	0	0	0	0	1
fairsi	0	0	0	0	1	0	0	0	0	0
anna	0	2	0	0	0	1	1	1	0	0
wennd	0	0	0	0	0	0	0	1	0	0
jageell	0	0	0	0	0	0	0	0	0	1
merkt	1	3	0	0	1	0	0	0	1	0
prüeft	0	0	0	1	0	0	0	0	0	0
mmh	0	0	0	0	0	0	0	0	0	1
verstande	1	0	0	0	1	0	0	0	0	0
paar	0	0	0	1	1	2	0	0	0	0
jahuere	0	0	0	1	0	0	0	0	0	0
*	0	0	0	1	1	0	0	1	1	0
emojiQfaceWithColdSweat	0	0	0	0	0	2	0	0	0	2
ufd	0	0	0	0	0	0	1	0	0	0
uufpasst	0	0	0	0	0	0	0	0	1	0
striitet	1	0	0	0	0	0	0	0	0	0
zit	0	1	1	0	0	0	0	0	0	1
ganzi	0	0	1	1	1	0	0	0	0	0
eine	0	0	0	0	1	2	2	0	1	1
iaa	1	0	1	1	0	1	0	2	1	1
whyy	0	0	0	0	0	0	0	0	0	1
beklagt	1	0	0	0	0	0	0	0	0	0
wie	0	6	2	0	2	3	2	5	3	3
typ	0	0	0	0	2	1	1	1	0	0
nee	0	0	0	0	0	0	1	0	0	0
iez	1	1	1	0	0	0	0	0	1	0
sichergaah	1	0	0	0	0	0	0	0	0	0
dure	0	0	0	0	1	0	0	0	0	0
nomal	0	0	0	0	1	1	1	0	0	0
gaht	1	1	4	1	1	0	1	2	1	1
gfühl	4	3	1	0	0	0	0	1	0	1
finded	0	1	0	0	0	0	0	0	0	0
vorprogrammiert	0	0	0	0	0	0	0	1	0	0
drama	0	0	0	0	0	0	0	0	1	0
fern	0	0	0	1	0	0	0	0	0	0
luna	0	0	0	0	1	0	0	1	0	0
happy	1	0	0	0	0	0	0	0	0	0
hihi	0	0	0	1	0	0	1	0	0	0
ouu	0	0	0	0	0	0	0	0	1	0
instaa	0	0	0	0	0	0	0	1	0	0
folge	0	0	0	0	0	0	0	0	0	1
machsch	1	0	0	0	0	0	0	1	1	0
Du	0	7	7	2	5	3	1	3	4	2
üsserliche	0	0	0	1	0	0	0	0	0	0
vom	0	1	2	2	1	2	0	1	1	3
ufgrund	0	0	0	0	0	1	0	0	0	0
über	0	0	0	0	0	1	0	2	1	0
urteilsch	0	0	0	0	0	0	0	0	1	0
ifersüchtig	1	0	0	0	0	0	0	0	0	0
verpisse	0	0	0	0	0	1	0	0	0	0
wixxerin	0	0	0	0	0	0	0	0	0	1
ignoriers	0	0	0	0	0	1	0	0	0	0
janed	0	0	0	0	0	0	0	0	1	0
Antworte	0	0	0	0	0	0	0	0	0	1
emojiQwhiteSmilingFace	0	3	2	1	3	9	7	4	2	1
dankeeh	0	0	0	0	0	0	1	0	0	0
iöö	0	0	0	0	0	0	1	1	0	0
awww	0	0	0	0	0	0	0	0	1	0
gsait	3	3	0	1	0	0	0	1	0	0
zwar	0	1	1	1	0	0	0	0	1	0
nervt	0	1	0	0	0	0	0	0	1	0
wichtig	2	7	0	1	0	2	0	1	1	0
pls	0	0	0	0	0	1	0	0	0	0
lah	0	0	0	0	0	0	1	1	0	0
rueh	0	0	0	0	0	1	0	0	1	0
in	0	0	1	2	0	1	6	5	1	7
mobbing	0	1	0	0	0	0	0	0	0	0
emojiQsmilingFaceWithHeartShapedEyes	0	0	0	0	1	2	1	4	4	3
nieeeeeee	0	0	0	0	0	0	0	0	1	0
ahgrichtet	0	0	0	0	1	0	0	0	0	0
mached	0	0	0	1	0	0	1	0	0	0
seiter	0	1	0	0	0	0	0	0	0	0
geell	0	0	0	0	1	0	0	0	1	0
machi	0	0	0	0	0	1	0	0	2	0
shit	0	0	1	0	0	0	0	0	0	0
ohh	0	0	0	1	0	0	0	0	1	0
hhah	0	0	0	0	0	0	0	1	0	0
Célestine	0	0	0	0	0	0	0	0	0	1
herzig	1	0	0	2	1	1	0	0	1	0
